Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:32.264000,VER,1,0 days 00:01:27.912000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:30.370000,0 days 00:00:23.495000,NaT,0 days 01:03:08.823000,0 days 01:03:32.354000,274.0,235.0,244.0,243.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:02:04.106000,NaT,12,1.0,,,False,False
0 days 01:04:57.421000,VER,1,0 days 00:01:25.157000,2.0,1.0,NaT,NaT,0 days 00:00:30.527000,0 days 00:00:30.848000,0 days 00:00:23.782000,0 days 01:04:02.817000,0 days 01:04:33.665000,0 days 01:04:57.447000,272.0,229.0,244.0,285.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:03:32.264000,NaT,1,1.0,,,False,True
0 days 01:06:22.491000,VER,1,0 days 00:01:25.070000,3.0,1.0,NaT,NaT,0 days 00:00:30.491000,0 days 00:00:30.724000,0 days 00:00:23.855000,0 days 01:05:27.938000,0 days 01:05:58.662000,0 days 01:06:22.517000,269.0,230.0,242.0,287.0,True,MEDIUM,6.0,False,Red Bull Racing,0 days 01:04:57.421000,NaT,1,1.0,,,False,True
0 days 01:07:47.033000,VER,1,0 days 00:01:24.542000,4.0,1.0,NaT,NaT,0 days 00:00:30.403000,0 days 00:00:30.495000,0 days 00:00:23.644000,0 days 01:06:52.920000,0 days 01:07:23.415000,0 days 01:07:47.059000,273.0,232.0,243.0,287.0,True,MEDIUM,7.0,False,Red Bull Racing,0 days 01:06:22.491000,NaT,1,1.0,,,False,True
0 days 01:09:11.876000,VER,1,0 days 00:01:24.843000,5.0,1.0,NaT,NaT,0 days 00:00:30.395000,0 days 00:00:30.707000,0 days 00:00:23.741000,0 days 01:08:17.454000,0 days 01:08:48.161000,0 days 01:09:11.902000,272.0,231.0,242.0,286.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:07:47.033000,NaT,1,1.0,,,False,True
0 days 01:10:36.472000,VER,1,0 days 00:01:24.596000,6.0,1.0,NaT,NaT,0 days 00:00:30.248000,0 days 00:00:30.586000,0 days 00:00:23.762000,0 days 01:09:42.150000,0 days 01:10:12.736000,0 days 01:10:36.498000,276.0,227.0,243.0,284.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:09:11.876000,NaT,1,1.0,,,False,True
0 days 01:12:00.959000,VER,1,0 days 00:01:24.487000,7.0,1.0,NaT,NaT,0 days 00:00:30.235000,0 days 00:00:30.487000,0 days 00:00:23.765000,0 days 01:11:06.733000,0 days 01:11:37.220000,0 days 01:12:00.985000,276.0,230.0,243.0,284.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:10:36.472000,NaT,1,1.0,,,False,True
0 days 01:13:25.468000,VER,1,0 days 00:01:24.509000,8.0,1.0,NaT,NaT,0 days 00:00:30.362000,0 days 00:00:30.468000,0 days 00:00:23.679000,0 days 01:12:31.347000,0 days 01:13:01.815000,0 days 01:13:25.494000,277.0,230.0,241.0,286.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:12:00.959000,NaT,1,1.0,,,False,True
0 days 01:14:49.905000,VER,1,0 days 00:01:24.437000,9.0,1.0,NaT,NaT,0 days 00:00:30.271000,0 days 00:00:30.533000,0 days 00:00:23.633000,0 days 01:13:55.765000,0 days 01:14:26.298000,0 days 01:14:49.931000,277.0,231.0,242.0,286.0,True,MEDIUM,12.0,False,Red Bull Racing,0 days 01:13:25.468000,NaT,1,1.0,,,False,True
0 days 01:16:14.310000,VER,1,0 days 00:01:24.405000,10.0,1.0,NaT,NaT,0 days 00:00:30.290000,0 days 00:00:30.405000,0 days 00:00:23.710000,0 days 01:15:20.221000,0 days 01:15:50.626000,0 days 01:16:14.336000,277.0,230.0,244.0,285.0,True,MEDIUM,13.0,False,Red Bull Racing,0 days 01:14:49.905000,NaT,1,1.0,,,False,True
0 days 01:17:38.772000,VER,1,0 days 00:01:24.462000,11.0,1.0,NaT,NaT,0 days 00:00:30.318000,0 days 00:00:30.352000,0 days 00:00:23.792000,0 days 01:16:44.654000,0 days 01:17:15.006000,0 days 01:17:38.798000,278.0,232.0,241.0,284.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:16:14.310000,NaT,1,1.0,,,False,True
0 days 01:19:03.078000,VER,1,0 days 00:01:24.306000,12.0,1.0,NaT,NaT,0 days 00:00:30.274000,0 days 00:00:30.285000,0 days 00:00:23.747000,0 days 01:18:09.072000,0 days 01:18:39.357000,0 days 01:19:03.104000,277.0,232.0,242.0,285.0,True,MEDIUM,15.0,False,Red Bull Racing,0 days 01:17:38.772000,NaT,1,1.0,,,False,True
0 days 01:20:27.433000,VER,1,0 days 00:01:24.355000,13.0,1.0,NaT,NaT,0 days 00:00:30.336000,0 days 00:00:30.307000,0 days 00:00:23.712000,0 days 01:19:33.440000,0 days 01:20:03.747000,0 days 01:20:27.459000,277.0,234.0,243.0,284.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 01:19:03.078000,NaT,1,1.0,,,False,True
0 days 01:21:51.634000,VER,1,0 days 00:01:24.201000,14.0,1.0,NaT,NaT,0 days 00:00:30.251000,0 days 00:00:30.200000,0 days 00:00:23.750000,0 days 01:20:57.710000,0 days 01:21:27.910000,0 days 01:21:51.660000,276.0,235.0,242.0,285.0,True,MEDIUM,17.0,False,Red Bull Racing,0 days 01:20:27.433000,NaT,1,1.0,,,False,True
0 days 01:23:15.755000,VER,1,0 days 00:01:24.121000,15.0,1.0,NaT,NaT,0 days 00:00:30.331000,0 days 00:00:30.156000,0 days 00:00:23.634000,0 days 01:22:21.991000,0 days 01:22:52.147000,0 days 01:23:15.781000,277.0,237.0,244.0,284.0,True,MEDIUM,18.0,False,Red Bull Racing,0 days 01:21:51.634000,NaT,1,1.0,,,False,True
0 days 01:24:40.128000,VER,1,0 days 00:01:24.373000,16.0,1.0,NaT,NaT,0 days 00:00:30.364000,0 days 00:00:30.315000,0 days 00:00:23.694000,0 days 01:23:46.145000,0 days 01:24:16.460000,0 days 01:24:40.154000,277.0,234.0,243.0,288.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 01:23:15.755000,NaT,1,1.0,,,False,True
0 days 01:26:04.342000,VER,1,0 days 00:01:24.214000,17.0,1.0,NaT,NaT,0 days 00:00:30.292000,0 days 00:00:30.210000,0 days 00:00:23.712000,0 days 01:25:10.446000,0 days 01:25:40.656000,0 days 01:26:04.368000,277.0,235.0,242.0,285.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 01:24:40.128000,NaT,1,1.0,,,False,True
0 days 01:27:28.537000,VER,1,0 days 00:01:24.195000,18.0,1.0,NaT,NaT,0 days 00:00:30.357000,0 days 00:00:30.206000,0 days 00:00:23.632000,0 days 01:26:34.725000,0 days 01:27:04.931000,0 days 01:27:28.563000,276.0,235.0,242.0,285.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 01:26:04.342000,NaT,1,1.0,,,False,True
0 days 01:28:52.933000,VER,1,0 days 00:01:24.396000,19.0,1.0,NaT,NaT,0 days 00:00:30.324000,0 days 00:00:30.217000,0 days 00:00:23.855000,0 days 01:27:58.887000,0 days 01:28:29.104000,0 days 01:28:52.959000,278.0,235.0,243.0,285.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 01:27:28.537000,NaT,1,1.0,,,False,True
0 days 01:30:16.998000,VER,1,0 days 00:01:24.065000,20.0,1.0,NaT,NaT,0 days 00:00:30.213000,0 days 00:00:30.134000,0 days 00:00:23.718000,0 days 01:29:23.172000,0 days 01:29:53.306000,0 days 01:30:17.024000,278.0,235.0,243.0,286.0,True,MEDIUM,23.0,False,Red Bull Racing,0 days 01:28:52.933000,NaT,1,1.0,,,False,True
0 days 01:31:41.010000,VER,1,0 days 00:01:24.012000,21.0,1.0,NaT,NaT,0 days 00:00:30.306000,0 days 00:00:30.065000,0 days 00:00:23.641000,0 days 01:30:47.330000,0 days 01:31:17.395000,0 days 01:31:41.036000,277.0,237.0,243.0,287.0,True,MEDIUM,24.0,False,Red Bull Racing,0 days 01:30:16.998000,NaT,1,1.0,,,False,True
0 days 01:33:05.370000,VER,1,0 days 00:01:24.360000,22.0,1.0,NaT,NaT,0 days 00:00:30.326000,0 days 00:00:30.345000,0 days 00:00:23.689000,0 days 01:32:11.362000,0 days 01:32:41.707000,0 days 01:33:05.396000,277.0,234.0,243.0,286.0,False,MEDIUM,25.0,False,Red Bull Racing,0 days 01:31:41.010000,NaT,1,1.0,,,False,True
0 days 01:34:32.521000,VER,1,0 days 00:01:27.151000,23.0,1.0,NaT,0 days 01:34:30.758000,0 days 00:00:30.367000,0 days 00:00:30.662000,0 days 00:00:26.122000,0 days 01:33:35.763000,0 days 01:34:06.425000,0 days 01:34:32.547000,278.0,237.0,,287.0,False,MEDIUM,26.0,False,Red Bull Racing,0 days 01:33:05.370000,NaT,1,1.0,,,False,False
0 days 01:36:14.528000,VER,1,0 days 00:01:42.007000,24.0,2.0,0 days 01:34:52.164000,NaT,0 days 00:00:48.429000,0 days 00:00:30.204000,0 days 00:00:23.374000,0 days 01:35:20.976000,0 days 01:35:51.180000,0 days 01:36:14.554000,266.0,235.0,245.0,287.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:34:32.521000,NaT,1,1.0,,,False,False
0 days 01:37:38.305000,VER,1,0 days 00:01:23.777000,25.0,2.0,NaT,NaT,0 days 00:00:30.109000,0 days 00:00:30.145000,0 days 00:00:23.523000,0 days 01:36:44.663000,0 days 01:37:14.808000,0 days 01:37:38.331000,271.0,235.0,245.0,286.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:36:14.528000,NaT,1,1.0,,,False,True
0 days 01:39:02.022000,VER,1,0 days 00:01:23.717000,26.0,2.0,NaT,NaT,0 days 00:00:30.176000,0 days 00:00:30.036000,0 days 00:00:23.505000,0 days 01:38:08.507000,0 days 01:38:38.543000,0 days 01:39:02.048000,278.0,236.0,243.0,287.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:37:38.305000,NaT,1,1.0,,,False,True
0 days 01:40:25.658000,VER,1,0 days 00:01:23.636000,27.0,2.0,NaT,NaT,0 days 00:00:30.286000,0 days 00:00:29.961000,0 days 00:00:23.389000,0 days 01:39:32.334000,0 days 01:40:02.295000,0 days 01:40:25.684000,279.0,237.0,245.0,286.0,True,HARD,4.0,True,Red Bull Racing,0 days 01:39:02.022000,NaT,1,1.0,,,False,True
0 days 01:41:49.345000,VER,1,0 days 00:01:23.687000,28.0,2.0,NaT,NaT,0 days 00:00:30.161000,0 days 00:00:30.061000,0 days 00:00:23.465000,0 days 01:40:55.845000,0 days 01:41:25.906000,0 days 01:41:49.371000,278.0,236.0,246.0,288.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:40:25.658000,NaT,1,1.0,,,False,True
0 days 01:43:13.107000,VER,1,0 days 00:01:23.762000,29.0,2.0,NaT,NaT,0 days 00:00:30.210000,0 days 00:00:30.048000,0 days 00:00:23.504000,0 days 01:42:19.581000,0 days 01:42:49.629000,0 days 01:43:13.133000,279.0,236.0,246.0,289.0,False,HARD,6.0,True,Red Bull Racing,0 days 01:41:49.345000,NaT,1,1.0,,,False,True
0 days 01:44:36.731000,VER,1,0 days 00:01:23.624000,30.0,2.0,NaT,NaT,0 days 00:00:30.068000,0 days 00:00:30.108000,0 days 00:00:23.448000,0 days 01:43:43.201000,0 days 01:44:13.309000,0 days 01:44:36.757000,277.0,236.0,246.0,290.0,True,HARD,7.0,True,Red Bull Racing,0 days 01:43:13.107000,NaT,1,1.0,,,False,True
0 days 01:46:00.321000,VER,1,0 days 00:01:23.590000,31.0,2.0,NaT,NaT,0 days 00:00:30.350000,0 days 00:00:29.744000,0 days 00:00:23.496000,0 days 01:45:07.107000,0 days 01:45:36.851000,0 days 01:46:00.347000,279.0,240.0,246.0,289.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:44:36.731000,NaT,1,1.0,,,False,True
0 days 01:47:23.613000,VER,1,0 days 00:01:23.292000,32.0,2.0,NaT,NaT,0 days 00:00:30.190000,0 days 00:00:29.706000,0 days 00:00:23.396000,0 days 01:46:30.537000,0 days 01:47:00.243000,0 days 01:47:23.639000,281.0,238.0,247.0,289.0,True,HARD,9.0,True,Red Bull Racing,0 days 01:46:00.321000,NaT,1,1.0,,,False,True
0 days 01:48:47.136000,VER,1,0 days 00:01:23.523000,33.0,2.0,NaT,NaT,0 days 00:00:30.208000,0 days 00:00:29.828000,0 days 00:00:23.487000,0 days 01:47:53.847000,0 days 01:48:23.675000,0 days 01:48:47.162000,281.0,238.0,247.0,289.0,False,HARD,10.0,True,Red Bull Racing,0 days 01:47:23.613000,NaT,1,1.0,,,False,True
0 days 01:50:10.643000,VER,1,0 days 00:01:23.507000,34.0,2.0,NaT,NaT,0 days 00:00:30.070000,0 days 00:00:29.794000,0 days 00:00:23.643000,0 days 01:49:17.232000,0 days 01:49:47.026000,0 days 01:50:10.669000,282.0,240.0,247.0,289.0,False,HARD,11.0,True,Red Bull Racing,0 days 01:48:47.136000,NaT,1,1.0,,,False,True
0 days 01:51:34.132000,VER,1,0 days 00:01:23.489000,35.0,2.0,NaT,NaT,0 days 00:00:29.983000,0 days 00:00:29.946000,0 days 00:00:23.560000,0 days 01:50:40.652000,0 days 01:51:10.598000,0 days 01:51:34.158000,283.0,241.0,247.0,292.0,False,HARD,12.0,True,Red Bull Racing,0 days 01:50:10.643000,NaT,1,1.0,,,False,True
0 days 01:52:57.417000,VER,1,0 days 00:01:23.285000,36.0,2.0,NaT,NaT,0 days 00:00:30.034000,0 days 00:00:29.823000,0 days 00:00:23.428000,0 days 01:52:04.192000,0 days 01:52:34.015000,0 days 01:52:57.443000,281.0,239.0,247.0,292.0,True,HARD,13.0,True,Red Bull Racing,0 days 01:51:34.132000,NaT,1,1.0,,,False,True
0 days 01:54:20.667000,VER,1,0 days 00:01:23.250000,37.0,2.0,NaT,NaT,0 days 00:00:30.110000,0 days 00:00:29.707000,0 days 00:00:23.433000,0 days 01:53:27.553000,0 days 01:53:57.260000,0 days 01:54:20.693000,281.0,239.0,246.0,291.0,True,HARD,14.0,True,Red Bull Racing,0 days 01:52:57.417000,NaT,1,1.0,,,False,True
0 days 01:55:44.137000,VER,1,0 days 00:01:23.470000,38.0,2.0,NaT,NaT,0 days 00:00:30.071000,0 days 00:00:29.710000,0 days 00:00:23.689000,0 days 01:54:50.764000,0 days 01:55:20.474000,0 days 01:55:44.163000,279.0,241.0,247.0,290.0,False,HARD,15.0,True,Red Bull Racing,0 days 01:54:20.667000,NaT,1,1.0,,,False,True
0 days 01:57:08.280000,VER,1,0 days 00:01:24.143000,39.0,2.0,NaT,NaT,0 days 00:00:30.126000,0 days 00:00:30.073000,0 days 00:00:23.944000,0 days 01:56:14.289000,0 days 01:56:44.362000,0 days 01:57:08.306000,282.0,240.0,248.0,292.0,False,HARD,16.0,True,Red Bull Racing,0 days 01:55:44.137000,NaT,1,1.0,,,False,True
0 days 01:58:31.985000,VER,1,0 days 00:01:23.705000,40.0,2.0,NaT,NaT,0 days 00:00:30.180000,0 days 00:00:29.844000,0 days 00:00:23.681000,0 days 01:57:38.486000,0 days 01:58:08.330000,0 days 01:58:32.011000,283.0,241.0,252.0,291.0,False,HARD,17.0,True,Red Bull Racing,0 days 01:57:08.280000,NaT,1,1.0,,,False,True
0 days 01:59:55.008000,VER,1,0 days 00:01:23.023000,41.0,2.0,NaT,NaT,0 days 00:00:30.087000,0 days 00:00:29.534000,0 days 00:00:23.402000,0 days 01:59:02.098000,0 days 01:59:31.632000,0 days 01:59:55.034000,282.0,244.0,246.0,306.0,True,HARD,18.0,True,Red Bull Racing,0 days 01:58:31.985000,NaT,1,1.0,,,False,True
0 days 02:01:18.317000,VER,1,0 days 00:01:23.309000,42.0,2.0,NaT,NaT,0 days 00:00:29.994000,0 days 00:00:29.681000,0 days 00:00:23.634000,0 days 02:00:25.028000,0 days 02:00:54.709000,0 days 02:01:18.343000,281.0,243.0,247.0,291.0,False,HARD,19.0,True,Red Bull Racing,0 days 01:59:55.008000,NaT,1,1.0,,,False,True
0 days 02:02:41.655000,VER,1,0 days 00:01:23.338000,43.0,2.0,NaT,NaT,0 days 00:00:30.074000,0 days 00:00:29.622000,0 days 00:00:23.642000,0 days 02:01:48.417000,0 days 02:02:18.039000,0 days 02:02:41.681000,280.0,244.0,247.0,291.0,False,HARD,20.0,True,Red Bull Racing,0 days 02:01:18.317000,NaT,1,1.0,,,False,True
0 days 02:04:05.427000,VER,1,0 days 00:01:23.772000,44.0,2.0,NaT,NaT,0 days 00:00:30.045000,0 days 00:00:29.962000,0 days 00:00:23.765000,0 days 02:03:11.726000,0 days 02:03:41.688000,0 days 02:04:05.453000,283.0,239.0,247.0,292.0,False,HARD,21.0,True,Red Bull Racing,0 days 02:02:41.655000,NaT,1,1.0,,,False,True
0 days 02:05:29.357000,VER,1,0 days 00:01:23.930000,45.0,2.0,NaT,NaT,0 days 00:00:30.349000,0 days 00:00:29.945000,0 days 00:00:23.636000,0 days 02:04:35.802000,0 days 02:05:05.747000,0 days 02:05:29.383000,285.0,241.0,246.0,293.0,False,HARD,22.0,True,Red Bull Racing,0 days 02:04:05.427000,NaT,1,1.0,,,False,True
0 days 02:06:52.996000,VER,1,0 days 00:01:23.639000,46.0,2.0,NaT,NaT,0 days 00:00:30.174000,0 days 00:00:29.759000,0 days 00:00:23.706000,0 days 02:05:59.557000,0 days 02:06:29.316000,0 days 02:06:53.022000,282.0,241.0,245.0,291.0,False,HARD,23.0,True,Red Bull Racing,0 days 02:05:29.357000,NaT,1,1.0,,,False,True
0 days 02:08:16.604000,VER,1,0 days 00:01:23.608000,47.0,2.0,NaT,NaT,0 days 00:00:30.117000,0 days 00:00:29.856000,0 days 00:00:23.635000,0 days 02:07:23.139000,0 days 02:07:52.995000,0 days 02:08:16.630000,283.0,240.0,247.0,290.0,False,HARD,24.0,True,Red Bull Racing,0 days 02:06:52.996000,NaT,1,1.0,,,False,True
0 days 02:09:40.091000,VER,1,0 days 00:01:23.487000,48.0,2.0,NaT,NaT,0 days 00:00:30.054000,0 days 00:00:29.713000,0 days 00:00:23.720000,0 days 02:08:46.684000,0 days 02:09:16.397000,0 days 02:09:40.117000,283.0,241.0,247.0,291.0,False,HARD,25.0,True,Red Bull Racing,0 days 02:08:16.604000,NaT,1,1.0,,,False,True
0 days 02:11:03.913000,VER,1,0 days 00:01:23.822000,49.0,2.0,NaT,NaT,0 days 00:00:30.085000,0 days 00:00:30.065000,0 days 00:00:23.672000,0 days 02:10:10.202000,0 days 02:10:40.267000,0 days 02:11:03.939000,283.0,241.0,248.0,292.0,False,HARD,26.0,True,Red Bull Racing,0 days 02:09:40.091000,NaT,1,1.0,,,False,True
0 days 02:12:27.695000,VER,1,0 days 00:01:23.782000,50.0,2.0,NaT,NaT,0 days 00:00:30.042000,0 days 00:00:29.935000,0 days 00:00:23.805000,0 days 02:11:33.981000,0 days 02:12:03.916000,0 days 02:12:27.721000,283.0,243.0,247.0,292.0,False,HARD,27.0,True,Red Bull Racing,0 days 02:11:03.913000,NaT,1,1.0,,,False,True
0 days 02:13:53.905000,VER,1,0 days 00:01:26.210000,51.0,2.0,NaT,0 days 02:13:52.223000,0 days 00:00:30.048000,0 days 00:00:29.879000,0 days 00:00:26.283000,0 days 02:12:57.769000,0 days 02:13:27.648000,0 days 02:13:53.931000,285.0,242.0,,292.0,False,HARD,28.0,True,Red Bull Racing,0 days 02:12:27.695000,NaT,1,1.0,,,False,False
0 days 02:15:36.628000,VER,1,0 days 00:01:42.723000,52.0,3.0,0 days 02:14:13.847000,NaT,0 days 00:00:48.720000,0 days 00:00:29.495000,0 days 00:00:24.508000,0 days 02:14:42.651000,0 days 02:15:12.146000,0 days 02:15:36.654000,282.0,243.0,250.0,292.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 02:13:53.905000,NaT,1,1.0,,,False,False
0 days 02:16:57.132000,VER,1,0 days 00:01:20.504000,53.0,3.0,NaT,NaT,0 days 00:00:29.265000,0 days 00:00:28.662000,0 days 00:00:22.577000,0 days 02:16:05.919000,0 days 02:16:34.581000,0 days 02:16:57.158000,283.0,249.0,254.0,291.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 02:15:36.628000,NaT,1,1.0,,,False,True
0 days 02:18:21.067000,VER,1,0 days 00:01:23.935000,54.0,3.0,NaT,NaT,0 days 00:00:30.478000,0 days 00:00:30.097000,0 days 00:00:23.360000,0 days 02:17:27.636000,0 days 02:17:57.733000,0 days 02:18:21.093000,272.0,242.0,247.0,297.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 02:16:57.132000,NaT,1,1.0,,,False,True
0 days 02:19:43.914000,VER,1,0 days 00:01:22.847000,55.0,3.0,NaT,NaT,0 days 00:00:29.887000,0 days 00:00:29.754000,0 days 00:00:23.206000,0 days 02:18:50.980000,0 days 02:19:20.734000,0 days 02:19:43.940000,283.0,240.0,248.0,291.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 02:18:21.067000,NaT,1,1.0,,,False,True
0 days 02:21:06.514000,VER,1,0 days 00:01:22.600000,56.0,3.0,NaT,NaT,0 days 00:00:29.780000,0 days 00:00:29.516000,0 days 00:00:23.304000,0 days 02:20:13.720000,0 days 02:20:43.236000,0 days 02:21:06.540000,282.0,243.0,249.0,291.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 02:19:43.914000,NaT,1,1.0,,,False,True
0 days 02:22:28.939000,VER,1,0 days 00:01:22.425000,57.0,3.0,NaT,NaT,0 days 00:00:29.793000,0 days 00:00:29.310000,0 days 00:00:23.322000,0 days 02:21:36.333000,0 days 02:22:05.643000,0 days 02:22:28.965000,281.0,245.0,246.0,293.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 02:21:06.514000,NaT,1,1.0,,,False,True
0 days 02:23:51.589000,VER,1,0 days 00:01:22.650000,58.0,3.0,NaT,NaT,0 days 00:00:29.828000,0 days 00:00:29.441000,0 days 00:00:23.381000,0 days 02:22:58.793000,0 days 02:23:28.234000,0 days 02:23:51.615000,282.0,243.0,248.0,292.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 02:22:28.939000,NaT,1,1.0,,,False,True
0 days 02:25:13.469000,VER,1,0 days 00:01:21.880000,59.0,3.0,NaT,NaT,0 days 00:00:29.697000,0 days 00:00:29.184000,0 days 00:00:22.999000,0 days 02:24:21.312000,0 days 02:24:50.496000,0 days 02:25:13.495000,284.0,245.0,248.0,291.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 02:23:51.589000,NaT,1,1.0,,,False,True
0 days 02:26:35.023000,VER,1,0 days 00:01:21.554000,60.0,3.0,NaT,NaT,0 days 00:00:29.568000,0 days 00:00:29.102000,0 days 00:00:22.884000,0 days 02:25:43.063000,0 days 02:26:12.165000,0 days 02:26:35.049000,281.0,245.0,249.0,289.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 02:25:13.469000,NaT,1,1.0,,,False,True
0 days 02:27:56.543000,VER,1,0 days 00:01:21.520000,61.0,3.0,NaT,NaT,0 days 00:00:29.668000,0 days 00:00:28.891000,0 days 00:00:22.961000,0 days 02:27:04.717000,0 days 02:27:33.608000,0 days 02:27:56.569000,282.0,247.0,248.0,290.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 02:26:35.023000,NaT,1,1.0,,,False,True
0 days 02:29:18.236000,VER,1,0 days 00:01:21.693000,62.0,3.0,NaT,NaT,0 days 00:00:29.716000,0 days 00:00:28.995000,0 days 00:00:22.982000,0 days 02:28:26.285000,0 days 02:28:55.280000,0 days 02:29:18.262000,284.0,245.0,249.0,289.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 02:27:56.543000,NaT,1,1.0,,,False,True
0 days 02:30:40.008000,VER,1,0 days 00:01:21.772000,63.0,3.0,NaT,NaT,0 days 00:00:29.668000,0 days 00:00:29.032000,0 days 00:00:23.072000,0 days 02:29:47.930000,0 days 02:30:16.962000,0 days 02:30:40.034000,283.0,245.0,249.0,289.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 02:29:18.236000,NaT,1,1.0,,,False,True
0 days 02:32:02.130000,VER,1,0 days 00:01:22.122000,64.0,3.0,NaT,NaT,0 days 00:00:29.701000,0 days 00:00:29.256000,0 days 00:00:23.165000,0 days 02:31:09.735000,0 days 02:31:38.991000,0 days 02:32:02.156000,285.0,244.0,248.0,289.0,False,MEDIUM,16.0,False,Red Bull Racing,0 days 02:30:40.008000,NaT,1,1.0,,,False,True
0 days 02:33:24.353000,VER,1,0 days 00:01:22.223000,65.0,3.0,NaT,NaT,0 days 00:00:29.678000,0 days 00:00:29.303000,0 days 00:00:23.242000,0 days 02:32:31.834000,0 days 02:33:01.137000,0 days 02:33:24.379000,284.0,244.0,248.0,290.0,False,MEDIUM,17.0,False,Red Bull Racing,0 days 02:32:02.130000,NaT,1,1.0,,,False,True
0 days 02:34:46.294000,VER,1,0 days 00:01:21.941000,66.0,3.0,NaT,NaT,0 days 00:00:29.841000,0 days 00:00:29.108000,0 days 00:00:22.992000,0 days 02:33:54.220000,0 days 02:34:23.328000,0 days 02:34:46.320000,282.0,245.0,248.0,292.0,False,MEDIUM,18.0,False,Red Bull Racing,0 days 02:33:24.353000,NaT,1,1.0,,,False,True
0 days 02:36:08.048000,VER,1,0 days 00:01:21.754000,67.0,3.0,NaT,NaT,0 days 00:00:29.656000,0 days 00:00:29.022000,0 days 00:00:23.076000,0 days 02:35:15.976000,0 days 02:35:44.998000,0 days 02:36:08.074000,283.0,248.0,248.0,291.0,False,MEDIUM,19.0,False,Red Bull Racing,0 days 02:34:46.294000,NaT,1,1.0,,,False,True
0 days 02:37:29.572000,VER,1,0 days 00:01:21.524000,68.0,3.0,NaT,NaT,0 days 00:00:29.603000,0 days 00:00:28.781000,0 days 00:00:23.140000,0 days 02:36:37.677000,0 days 02:37:06.458000,0 days 02:37:29.598000,282.0,247.0,250.0,290.0,False,MEDIUM,20.0,False,Red Bull Racing,0 days 02:36:08.048000,NaT,1,1.0,,,False,True
0 days 02:38:50.752000,VER,1,0 days 00:01:21.180000,69.0,3.0,NaT,NaT,0 days 00:00:29.516000,0 days 00:00:28.719000,0 days 00:00:22.945000,0 days 02:37:59.114000,0 days 02:38:27.833000,0 days 02:38:50.778000,283.0,247.0,248.0,291.0,False,MEDIUM,21.0,False,Red Bull Racing,0 days 02:37:29.572000,NaT,12,1.0,,,False,True
0 days 02:40:12.986000,VER,1,0 days 00:01:22.234000,70.0,3.0,NaT,NaT,0 days 00:00:29.633000,0 days 00:00:29.233000,0 days 00:00:23.368000,0 days 02:39:20.411000,0 days 02:39:49.644000,0 days 02:40:13.012000,283.0,245.0,248.0,290.0,False,MEDIUM,22.0,False,Red Bull Racing,0 days 02:38:50.752000,NaT,1,1.0,,,False,True
0 days 01:03:34.253000,NOR,4,0 days 00:01:29.901000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:31.302000,0 days 00:00:23.736000,NaT,0 days 01:03:10.573000,0 days 01:03:34.370000,273.0,237.0,245.0,252.0,False,MEDIUM,1.0,True,McLaren,0 days 01:02:04.106000,NaT,12,3.0,,,False,False
