Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:05:04.229000,VER,1,0 days 00:02:00.179000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:49.276000,0 days 00:00:35.061000,NaT,0 days 01:04:29.265000,0 days 01:05:04.405000,278.0,124.0,197.0,122.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:03:03.844000,NaT,124,1.0,,,False,False
0 days 01:07:48.591000,VER,1,NaT,2.0,1.0,NaT,NaT,0 days 00:01:05.251000,0 days 00:01:08.600000,0 days 00:00:30.466000,0 days 01:06:09.622000,0 days 01:07:18.246000,0 days 01:07:48.699000,119.0,214.0,123.0,129.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:05:04.229000,NaT,4,1.0,,,False,False
0 days 01:10:33.919000,VER,1,NaT,3.0,1.0,NaT,NaT,0 days 00:01:08.931000,0 days 00:01:08.363000,0 days 00:00:28.070000,0 days 01:08:57.635000,0 days 01:10:05.946000,0 days 01:10:34.086000,132.0,233.0,206.0,192.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:07:48.591000,NaT,4,1.0,,,False,False
0 days 01:13:29.577000,VER,1,NaT,4.0,1.0,NaT,NaT,0 days 00:01:00.867000,0 days 00:01:06.499000,0 days 00:00:48.366000,0 days 01:11:34.991000,0 days 01:12:41.490000,0 days 01:13:29.833000,170.0,76.0,253.0,70.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:10:33.919000,NaT,41,1.0,,,False,False
0 days 01:15:06.325000,VER,1,0 days 00:01:36.748000,5.0,1.0,NaT,NaT,0 days 00:00:34.900000,0 days 00:00:42.960000,0 days 00:00:18.888000,0 days 01:14:04.574000,0 days 01:14:47.534000,0 days 01:15:06.422000,276.0,294.0,253.0,286.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:13:29.577000,NaT,1,1.0,,,False,True
0 days 01:16:44.162000,VER,1,0 days 00:01:37.837000,6.0,1.0,NaT,NaT,0 days 00:00:35.176000,0 days 00:00:43.659000,0 days 00:00:19.002000,0 days 01:15:41.598000,0 days 01:16:25.257000,0 days 01:16:44.259000,274.0,295.0,253.0,285.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:15:06.325000,NaT,1,1.0,,,False,True
0 days 01:18:22.195000,VER,1,0 days 00:01:38.033000,7.0,1.0,NaT,NaT,0 days 00:00:35.395000,0 days 00:00:43.518000,0 days 00:00:19.120000,0 days 01:17:19.654000,0 days 01:18:03.172000,0 days 01:18:22.292000,277.0,296.0,254.0,283.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:16:44.162000,NaT,1,1.0,,,False,True
0 days 01:20:00.343000,VER,1,0 days 00:01:38.148000,8.0,1.0,NaT,NaT,0 days 00:00:35.547000,0 days 00:00:43.697000,0 days 00:00:18.904000,0 days 01:18:57.839000,0 days 01:19:41.536000,0 days 01:20:00.440000,277.0,295.0,254.0,288.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:18:22.195000,NaT,1,1.0,,,False,True
0 days 01:21:38.584000,VER,1,0 days 00:01:38.241000,9.0,1.0,NaT,NaT,0 days 00:00:35.535000,0 days 00:00:43.764000,0 days 00:00:18.942000,0 days 01:20:35.975000,0 days 01:21:19.739000,0 days 01:21:38.681000,275.0,296.0,253.0,285.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:20:00.343000,NaT,1,1.0,,,False,True
0 days 01:23:16.885000,VER,1,0 days 00:01:38.301000,10.0,1.0,NaT,NaT,0 days 00:00:35.544000,0 days 00:00:43.760000,0 days 00:00:18.997000,0 days 01:22:14.225000,0 days 01:22:57.985000,0 days 01:23:16.982000,274.0,296.0,253.0,285.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:21:38.584000,NaT,1,1.0,,,False,True
0 days 01:24:55.404000,VER,1,0 days 00:01:38.519000,11.0,1.0,NaT,NaT,0 days 00:00:35.704000,0 days 00:00:43.810000,0 days 00:00:19.005000,0 days 01:23:52.686000,0 days 01:24:36.496000,0 days 01:24:55.501000,273.0,296.0,254.0,283.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:23:16.885000,NaT,1,1.0,,,False,True
0 days 01:26:34.055000,VER,1,0 days 00:01:38.651000,12.0,1.0,NaT,NaT,0 days 00:00:35.709000,0 days 00:00:43.950000,0 days 00:00:18.992000,0 days 01:25:31.210000,0 days 01:26:15.160000,0 days 01:26:34.152000,273.0,297.0,254.0,287.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:24:55.404000,NaT,12,1.0,,,False,True
0 days 01:28:12.744000,VER,1,0 days 00:01:38.689000,13.0,1.0,NaT,NaT,0 days 00:00:35.715000,0 days 00:00:43.930000,0 days 00:00:19.044000,0 days 01:27:09.867000,0 days 01:27:53.797000,0 days 01:28:12.841000,277.0,298.0,253.0,288.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:26:34.055000,NaT,1,1.0,,,False,True
0 days 01:30:12.498000,VER,1,0 days 00:01:59.754000,14.0,1.0,NaT,NaT,0 days 00:00:43.967000,0 days 00:00:56.351000,0 days 00:00:19.436000,0 days 01:28:56.808000,0 days 01:29:53.159000,0 days 01:30:12.595000,231.0,254.0,253.0,288.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:28:12.744000,NaT,167,1.0,,,False,False
0 days 01:31:50.871000,VER,1,0 days 00:01:38.373000,15.0,1.0,NaT,NaT,0 days 00:00:35.566000,0 days 00:00:43.781000,0 days 00:00:19.026000,0 days 01:30:48.161000,0 days 01:31:31.942000,0 days 01:31:50.968000,277.0,297.0,254.0,286.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:30:12.498000,NaT,1,1.0,,,False,True
0 days 01:33:32.043000,VER,1,0 days 00:01:41.172000,16.0,1.0,NaT,0 days 01:33:30.843000,0 days 00:00:35.811000,0 days 00:00:43.803000,0 days 00:00:21.558000,0 days 01:32:26.779000,0 days 01:33:10.582000,0 days 01:33:32.140000,276.0,297.0,,289.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:31:50.871000,NaT,1,1.0,,,False,False
0 days 01:35:30.068000,VER,1,0 days 00:01:58.025000,17.0,2.0,0 days 01:33:55.140000,NaT,0 days 00:00:55.875000,0 days 00:00:43.296000,0 days 00:00:18.854000,0 days 01:34:28.015000,0 days 01:35:11.311000,0 days 01:35:30.165000,274.0,298.0,255.0,286.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:33:32.043000,NaT,1,5.0,,,False,False
0 days 01:37:07.467000,VER,1,0 days 00:01:37.399000,18.0,2.0,NaT,NaT,0 days 00:00:35.205000,0 days 00:00:43.259000,0 days 00:00:18.935000,0 days 01:36:05.370000,0 days 01:36:48.629000,0 days 01:37:07.564000,278.0,299.0,256.0,286.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:35:30.068000,NaT,1,3.0,,,False,True
0 days 01:38:45.236000,VER,1,0 days 00:01:37.769000,19.0,2.0,NaT,NaT,0 days 00:00:35.312000,0 days 00:00:43.573000,0 days 00:00:18.884000,0 days 01:37:42.876000,0 days 01:38:26.449000,0 days 01:38:45.333000,280.0,297.0,254.0,287.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 01:37:07.467000,NaT,1,1.0,,,False,True
0 days 01:40:22.580000,VER,1,0 days 00:01:37.344000,20.0,2.0,NaT,NaT,0 days 00:00:35.182000,0 days 00:00:43.275000,0 days 00:00:18.887000,0 days 01:39:20.515000,0 days 01:40:03.790000,0 days 01:40:22.677000,277.0,297.0,255.0,284.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:38:45.236000,NaT,1,1.0,,,False,True
0 days 01:42:00.145000,VER,1,0 days 00:01:37.565000,21.0,2.0,NaT,NaT,0 days 00:00:35.243000,0 days 00:00:43.400000,0 days 00:00:18.922000,0 days 01:40:57.920000,0 days 01:41:41.320000,0 days 01:42:00.242000,278.0,297.0,255.0,287.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:40:22.580000,NaT,1,1.0,,,False,True
0 days 01:43:37.737000,VER,1,0 days 00:01:37.592000,22.0,2.0,NaT,NaT,0 days 00:00:35.387000,0 days 00:00:43.333000,0 days 00:00:18.872000,0 days 01:42:35.629000,0 days 01:43:18.962000,0 days 01:43:37.834000,276.0,298.0,254.0,289.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:42:00.145000,NaT,1,1.0,,,False,True
0 days 01:45:15.459000,VER,1,0 days 00:01:37.722000,23.0,2.0,NaT,NaT,0 days 00:00:35.268000,0 days 00:00:43.546000,0 days 00:00:18.908000,0 days 01:44:13.102000,0 days 01:44:56.648000,0 days 01:45:15.556000,276.0,298.0,255.0,287.0,False,MEDIUM,7.0,True,Red Bull Racing,0 days 01:43:37.737000,NaT,1,1.0,,,False,True
0 days 01:46:53.173000,VER,1,0 days 00:01:37.714000,24.0,2.0,NaT,NaT,0 days 00:00:35.295000,0 days 00:00:43.465000,0 days 00:00:18.954000,0 days 01:45:50.851000,0 days 01:46:34.316000,0 days 01:46:53.270000,277.0,299.0,255.0,286.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:45:15.459000,NaT,1,1.0,,,False,True
0 days 01:48:31.119000,VER,1,0 days 00:01:37.946000,25.0,2.0,NaT,NaT,0 days 00:00:35.443000,0 days 00:00:43.553000,0 days 00:00:18.950000,0 days 01:47:28.713000,0 days 01:48:12.266000,0 days 01:48:31.216000,277.0,297.0,255.0,288.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:46:53.173000,NaT,1,1.0,,,False,True
0 days 01:50:09.022000,VER,1,0 days 00:01:37.903000,26.0,2.0,NaT,NaT,0 days 00:00:35.391000,0 days 00:00:43.568000,0 days 00:00:18.944000,0 days 01:49:06.607000,0 days 01:49:50.175000,0 days 01:50:09.119000,278.0,298.0,254.0,288.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:48:31.119000,NaT,1,1.0,,,False,True
0 days 01:51:46.887000,VER,1,0 days 00:01:37.865000,27.0,2.0,NaT,NaT,0 days 00:00:35.465000,0 days 00:00:43.540000,0 days 00:00:18.860000,0 days 01:50:44.584000,0 days 01:51:28.124000,0 days 01:51:46.984000,274.0,297.0,254.0,289.0,False,MEDIUM,11.0,True,Red Bull Racing,0 days 01:50:09.022000,NaT,1,1.0,,,False,True
0 days 01:53:24.445000,VER,1,0 days 00:01:37.558000,28.0,2.0,NaT,NaT,0 days 00:00:35.321000,0 days 00:00:43.411000,0 days 00:00:18.826000,0 days 01:52:22.305000,0 days 01:53:05.716000,0 days 01:53:24.542000,275.0,298.0,255.0,294.0,False,MEDIUM,12.0,True,Red Bull Racing,0 days 01:51:46.887000,NaT,1,1.0,,,False,True
0 days 01:55:01.869000,VER,1,0 days 00:01:37.424000,29.0,2.0,NaT,NaT,0 days 00:00:35.048000,0 days 00:00:43.439000,0 days 00:00:18.937000,0 days 01:53:59.590000,0 days 01:54:43.029000,0 days 01:55:01.966000,275.0,298.0,255.0,293.0,False,MEDIUM,13.0,True,Red Bull Racing,0 days 01:53:24.445000,NaT,1,1.0,,,False,True
0 days 01:56:39.468000,VER,1,0 days 00:01:37.599000,30.0,2.0,NaT,NaT,0 days 00:00:35.259000,0 days 00:00:43.400000,0 days 00:00:18.940000,0 days 01:55:37.225000,0 days 01:56:20.625000,0 days 01:56:39.565000,276.0,298.0,255.0,295.0,False,MEDIUM,14.0,True,Red Bull Racing,0 days 01:55:01.869000,NaT,1,1.0,,,False,True
0 days 01:58:17.067000,VER,1,0 days 00:01:37.599000,31.0,2.0,NaT,NaT,0 days 00:00:35.352000,0 days 00:00:43.368000,0 days 00:00:18.879000,0 days 01:57:14.917000,0 days 01:57:58.285000,0 days 01:58:17.164000,279.0,299.0,254.0,295.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 01:56:39.468000,NaT,1,1.0,,,False,True
0 days 01:59:54.987000,VER,1,0 days 00:01:37.920000,32.0,2.0,NaT,NaT,0 days 00:00:35.434000,0 days 00:00:43.455000,0 days 00:00:19.031000,0 days 01:58:52.598000,0 days 01:59:36.053000,0 days 01:59:55.084000,279.0,298.0,255.0,294.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:58:17.067000,NaT,1,1.0,,,False,True
0 days 02:01:32.642000,VER,1,0 days 00:01:37.655000,33.0,2.0,NaT,NaT,0 days 00:00:35.356000,0 days 00:00:43.454000,0 days 00:00:18.845000,0 days 02:00:30.440000,0 days 02:01:13.894000,0 days 02:01:32.739000,278.0,298.0,255.0,295.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:59:54.987000,NaT,1,1.0,,,False,True
0 days 02:03:10.375000,VER,1,0 days 00:01:37.733000,34.0,2.0,NaT,NaT,0 days 00:00:35.256000,0 days 00:00:43.649000,0 days 00:00:18.828000,0 days 02:02:07.995000,0 days 02:02:51.644000,0 days 02:03:10.472000,278.0,298.0,256.0,294.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 02:01:32.642000,NaT,1,1.0,,,False,True
0 days 02:04:48.163000,VER,1,0 days 00:01:37.788000,35.0,2.0,NaT,NaT,0 days 00:00:35.290000,0 days 00:00:43.599000,0 days 00:00:18.899000,0 days 02:03:45.762000,0 days 02:04:29.361000,0 days 02:04:48.260000,274.0,301.0,255.0,296.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 02:03:10.375000,NaT,1,1.0,,,False,True
0 days 02:06:25.983000,VER,1,0 days 00:01:37.820000,36.0,2.0,NaT,NaT,0 days 00:00:35.333000,0 days 00:00:43.591000,0 days 00:00:18.896000,0 days 02:05:23.593000,0 days 02:06:07.184000,0 days 02:06:26.080000,277.0,299.0,255.0,298.0,False,MEDIUM,20.0,True,Red Bull Racing,0 days 02:04:48.163000,NaT,1,1.0,,,False,True
0 days 02:08:06.247000,VER,1,0 days 00:01:40.264000,37.0,2.0,NaT,0 days 02:08:05.056000,0 days 00:00:35.253000,0 days 00:00:43.610000,0 days 00:00:21.401000,0 days 02:07:01.333000,0 days 02:07:44.943000,0 days 02:08:06.344000,275.0,298.0,,296.0,False,MEDIUM,21.0,True,Red Bull Racing,0 days 02:06:25.983000,NaT,1,1.0,,,False,False
0 days 02:10:02.325000,VER,1,0 days 00:01:56.078000,38.0,3.0,0 days 02:08:28.728000,NaT,0 days 00:00:54.736000,0 days 00:00:42.835000,0 days 00:00:18.507000,0 days 02:09:01.080000,0 days 02:09:43.915000,0 days 02:10:02.422000,281.0,298.0,259.0,287.0,False,HARD,1.0,True,Red Bull Racing,0 days 02:08:06.247000,NaT,1,1.0,,,False,False
0 days 02:11:36.508000,VER,1,0 days 00:01:34.183000,39.0,3.0,NaT,NaT,0 days 00:00:33.720000,0 days 00:00:42.118000,0 days 00:00:18.345000,0 days 02:10:36.142000,0 days 02:11:18.260000,0 days 02:11:36.605000,280.0,300.0,257.0,297.0,True,HARD,2.0,True,Red Bull Racing,0 days 02:10:02.325000,NaT,1,1.0,,,False,True
0 days 02:13:12.422000,VER,1,0 days 00:01:35.914000,40.0,3.0,NaT,NaT,0 days 00:00:34.693000,0 days 00:00:42.582000,0 days 00:00:18.639000,0 days 02:12:11.298000,0 days 02:12:53.880000,0 days 02:13:12.519000,278.0,300.0,258.0,287.0,False,HARD,3.0,True,Red Bull Racing,0 days 02:11:36.508000,NaT,1,1.0,,,False,True
0 days 02:14:47.855000,VER,1,0 days 00:01:35.433000,41.0,3.0,NaT,NaT,0 days 00:00:34.366000,0 days 00:00:42.490000,0 days 00:00:18.577000,0 days 02:13:46.885000,0 days 02:14:29.375000,0 days 02:14:47.952000,277.0,300.0,258.0,294.0,False,HARD,4.0,True,Red Bull Racing,0 days 02:13:12.422000,NaT,1,1.0,,,False,True
0 days 02:16:23.103000,VER,1,0 days 00:01:35.248000,42.0,3.0,NaT,NaT,0 days 00:00:34.235000,0 days 00:00:42.444000,0 days 00:00:18.569000,0 days 02:15:22.187000,0 days 02:16:04.631000,0 days 02:16:23.200000,280.0,302.0,258.0,298.0,False,HARD,5.0,True,Red Bull Racing,0 days 02:14:47.855000,NaT,1,1.0,,,False,True
0 days 02:17:59.072000,VER,1,0 days 00:01:35.969000,43.0,3.0,NaT,NaT,0 days 00:00:34.687000,0 days 00:00:42.795000,0 days 00:00:18.487000,0 days 02:16:57.887000,0 days 02:17:40.682000,0 days 02:17:59.169000,277.0,300.0,258.0,298.0,False,HARD,6.0,True,Red Bull Racing,0 days 02:16:23.103000,NaT,1,1.0,,,False,True
0 days 02:19:34.534000,VER,1,0 days 00:01:35.462000,44.0,3.0,NaT,NaT,0 days 00:00:34.395000,0 days 00:00:42.636000,0 days 00:00:18.431000,0 days 02:18:33.564000,0 days 02:19:16.200000,0 days 02:19:34.631000,280.0,302.0,257.0,298.0,False,HARD,7.0,True,Red Bull Racing,0 days 02:17:59.072000,NaT,1,1.0,,,False,True
0 days 02:21:10.449000,VER,1,0 days 00:01:35.915000,45.0,3.0,NaT,NaT,0 days 00:00:34.521000,0 days 00:00:42.808000,0 days 00:00:18.586000,0 days 02:20:09.152000,0 days 02:20:51.960000,0 days 02:21:10.546000,279.0,302.0,258.0,301.0,False,HARD,8.0,True,Red Bull Racing,0 days 02:19:34.534000,NaT,1,1.0,,,False,True
0 days 02:22:46.432000,VER,1,0 days 00:01:35.983000,46.0,3.0,NaT,NaT,0 days 00:00:34.541000,0 days 00:00:42.877000,0 days 00:00:18.565000,0 days 02:21:45.087000,0 days 02:22:27.964000,0 days 02:22:46.529000,278.0,300.0,257.0,298.0,False,HARD,9.0,True,Red Bull Racing,0 days 02:21:10.449000,NaT,1,1.0,,,False,True
0 days 02:24:22.652000,VER,1,0 days 00:01:36.220000,47.0,3.0,NaT,NaT,0 days 00:00:34.598000,0 days 00:00:43.001000,0 days 00:00:18.621000,0 days 02:23:21.127000,0 days 02:24:04.128000,0 days 02:24:22.749000,278.0,300.0,257.0,295.0,False,HARD,10.0,True,Red Bull Racing,0 days 02:22:46.432000,NaT,1,1.0,,,False,True
0 days 02:25:58.850000,VER,1,0 days 00:01:36.198000,48.0,3.0,NaT,NaT,0 days 00:00:34.643000,0 days 00:00:42.894000,0 days 00:00:18.661000,0 days 02:24:57.392000,0 days 02:25:40.286000,0 days 02:25:58.947000,280.0,300.0,258.0,299.0,False,HARD,11.0,True,Red Bull Racing,0 days 02:24:22.652000,NaT,1,1.0,,,False,True
0 days 02:27:35.539000,VER,1,0 days 00:01:36.689000,49.0,3.0,NaT,NaT,0 days 00:00:34.857000,0 days 00:00:43.114000,0 days 00:00:18.718000,0 days 02:26:33.804000,0 days 02:27:16.918000,0 days 02:27:35.636000,275.0,301.0,258.0,300.0,False,HARD,12.0,True,Red Bull Racing,0 days 02:25:58.850000,NaT,1,1.0,,,False,True
0 days 02:29:12.416000,VER,1,0 days 00:01:36.877000,50.0,3.0,NaT,NaT,0 days 00:00:34.934000,0 days 00:00:43.288000,0 days 00:00:18.655000,0 days 02:28:10.570000,0 days 02:28:53.858000,0 days 02:29:12.513000,281.0,301.0,258.0,300.0,False,HARD,13.0,True,Red Bull Racing,0 days 02:27:35.539000,NaT,1,1.0,,,False,True
0 days 02:30:49.056000,VER,1,0 days 00:01:36.640000,51.0,3.0,NaT,NaT,0 days 00:00:34.955000,0 days 00:00:43.057000,0 days 00:00:18.628000,0 days 02:29:47.468000,0 days 02:30:30.525000,0 days 02:30:49.153000,281.0,302.0,259.0,302.0,False,HARD,14.0,True,Red Bull Racing,0 days 02:29:12.416000,NaT,1,1.0,,,False,True
0 days 02:32:26.106000,VER,1,0 days 00:01:37.050000,52.0,3.0,NaT,NaT,0 days 00:00:35.115000,0 days 00:00:43.223000,0 days 00:00:18.712000,0 days 02:31:24.268000,0 days 02:32:07.491000,0 days 02:32:26.203000,282.0,302.0,258.0,300.0,False,HARD,15.0,True,Red Bull Racing,0 days 02:30:49.056000,NaT,1,1.0,,,False,True
0 days 02:34:02.406000,VER,1,0 days 00:01:36.300000,53.0,3.0,NaT,NaT,0 days 00:00:34.649000,0 days 00:00:42.899000,0 days 00:00:18.752000,0 days 02:33:00.852000,0 days 02:33:43.751000,0 days 02:34:02.503000,279.0,299.0,256.0,296.0,False,HARD,16.0,True,Red Bull Racing,0 days 02:32:26.106000,NaT,1,1.0,,,False,True
0 days 01:05:07.414000,NOR,4,0 days 00:02:03.324000,1.0,1.0,NaT,NaT,NaT,0 days 00:00:51.197000,0 days 00:00:35.256000,NaT,0 days 01:04:32.202000,0 days 01:05:07.545000,272.0,96.0,140.0,163.0,False,MEDIUM,1.0,True,McLaren,0 days 01:03:03.844000,NaT,124,2.0,,,False,False
0 days 01:07:50.842000,NOR,4,NaT,2.0,1.0,NaT,NaT,0 days 00:01:04.471000,0 days 00:01:08.019000,0 days 00:00:30.933000,0 days 01:06:12.013000,0 days 01:07:20.012000,0 days 01:07:50.886000,128.0,159.0,139.0,187.0,False,MEDIUM,2.0,True,McLaren,0 days 01:05:07.414000,NaT,4,2.0,,,False,False
0 days 01:10:35.862000,NOR,4,NaT,3.0,1.0,NaT,NaT,0 days 00:01:07.602000,0 days 00:01:08.917000,0 days 00:00:28.510000,0 days 01:08:58.479000,0 days 01:10:07.477000,0 days 01:10:36.008000,138.0,182.0,176.0,185.0,False,MEDIUM,3.0,True,McLaren,0 days 01:07:50.842000,NaT,4,2.0,,,False,False
0 days 01:13:30.428000,NOR,4,NaT,4.0,1.0,NaT,NaT,0 days 00:00:59.584000,0 days 00:01:06.560000,0 days 00:00:48.427000,0 days 01:11:35.523000,0 days 01:12:42.053000,0 days 01:13:30.599000,163.0,81.0,252.0,70.0,False,MEDIUM,4.0,True,McLaren,0 days 01:10:35.862000,NaT,41,2.0,,,False,False
0 days 01:15:08.088000,NOR,4,0 days 00:01:37.660000,5.0,1.0,NaT,NaT,0 days 00:00:35.358000,0 days 00:00:43.164000,0 days 00:00:19.138000,0 days 01:14:05.830000,0 days 01:14:48.994000,0 days 01:15:08.132000,274.0,297.0,253.0,289.0,True,MEDIUM,5.0,True,McLaren,0 days 01:13:30.428000,NaT,1,2.0,,,False,True
0 days 01:16:46.246000,NOR,4,0 days 00:01:38.158000,6.0,1.0,NaT,NaT,0 days 00:00:35.531000,0 days 00:00:43.573000,0 days 00:00:19.054000,0 days 01:15:43.663000,0 days 01:16:27.236000,0 days 01:16:46.290000,276.0,299.0,253.0,293.0,False,MEDIUM,6.0,True,McLaren,0 days 01:15:08.088000,NaT,1,2.0,,,False,True
0 days 01:18:24.640000,NOR,4,0 days 00:01:38.394000,7.0,1.0,NaT,NaT,0 days 00:00:35.661000,0 days 00:00:43.761000,0 days 00:00:18.972000,0 days 01:17:21.951000,0 days 01:18:05.712000,0 days 01:18:24.684000,276.0,299.0,254.0,293.0,False,MEDIUM,7.0,True,McLaren,0 days 01:16:46.246000,NaT,1,2.0,,,False,True
0 days 01:20:03.146000,NOR,4,0 days 00:01:38.506000,8.0,1.0,NaT,NaT,0 days 00:00:35.648000,0 days 00:00:43.861000,0 days 00:00:18.997000,0 days 01:19:00.332000,0 days 01:19:44.193000,0 days 01:20:03.190000,273.0,299.0,253.0,296.0,False,MEDIUM,8.0,True,McLaren,0 days 01:18:24.640000,NaT,1,2.0,,,False,True
0 days 01:21:41.724000,NOR,4,0 days 00:01:38.578000,9.0,1.0,NaT,NaT,0 days 00:00:35.555000,0 days 00:00:43.866000,0 days 00:00:19.157000,0 days 01:20:38.745000,0 days 01:21:22.611000,0 days 01:21:41.768000,274.0,299.0,253.0,287.0,False,MEDIUM,9.0,True,McLaren,0 days 01:20:03.146000,NaT,1,2.0,,,False,True
0 days 01:23:20.736000,NOR,4,0 days 00:01:39.012000,10.0,1.0,NaT,NaT,0 days 00:00:35.912000,0 days 00:00:43.832000,0 days 00:00:19.268000,0 days 01:22:17.680000,0 days 01:23:01.512000,0 days 01:23:20.780000,277.0,299.0,254.0,286.0,False,MEDIUM,10.0,True,McLaren,0 days 01:21:41.724000,NaT,1,2.0,,,False,True
0 days 01:24:59.805000,NOR,4,0 days 00:01:39.069000,11.0,1.0,NaT,NaT,0 days 00:00:35.949000,0 days 00:00:43.998000,0 days 00:00:19.122000,0 days 01:23:56.729000,0 days 01:24:40.727000,0 days 01:24:59.849000,276.0,299.0,254.0,287.0,False,MEDIUM,11.0,True,McLaren,0 days 01:23:20.736000,NaT,1,2.0,,,False,True
0 days 01:26:39.018000,NOR,4,0 days 00:01:39.213000,12.0,1.0,NaT,NaT,0 days 00:00:35.842000,0 days 00:00:44.120000,0 days 00:00:19.251000,0 days 01:25:35.691000,0 days 01:26:19.811000,0 days 01:26:39.062000,277.0,300.0,254.0,287.0,False,MEDIUM,12.0,True,McLaren,0 days 01:24:59.805000,NaT,12,2.0,,,False,True
0 days 01:28:18.174000,NOR,4,0 days 00:01:39.156000,13.0,1.0,NaT,NaT,0 days 00:00:35.877000,0 days 00:00:44.080000,0 days 00:00:19.199000,0 days 01:27:14.939000,0 days 01:27:59.019000,0 days 01:28:18.218000,278.0,300.0,253.0,289.0,False,MEDIUM,13.0,True,McLaren,0 days 01:26:39.018000,NaT,1,2.0,,,False,True
0 days 01:30:21.771000,NOR,4,0 days 00:02:03.597000,14.0,1.0,NaT,NaT,0 days 00:00:46.117000,0 days 00:00:58.262000,0 days 00:00:19.218000,0 days 01:29:04.335000,0 days 01:30:02.597000,0 days 01:30:21.815000,149.0,298.0,252.0,296.0,False,MEDIUM,14.0,True,McLaren,0 days 01:28:18.174000,NaT,167,2.0,,,False,False
0 days 01:32:00.878000,NOR,4,0 days 00:01:39.107000,15.0,1.0,NaT,NaT,0 days 00:00:36.084000,0 days 00:00:43.940000,0 days 00:00:19.083000,0 days 01:30:57.899000,0 days 01:31:41.839000,0 days 01:32:00.922000,273.0,299.0,254.0,296.0,False,MEDIUM,15.0,True,McLaren,0 days 01:30:21.771000,NaT,1,2.0,,,False,True
0 days 01:33:40.104000,NOR,4,0 days 00:01:39.226000,16.0,1.0,NaT,NaT,0 days 00:00:35.937000,0 days 00:00:44.152000,0 days 00:00:19.137000,0 days 01:32:36.859000,0 days 01:33:21.011000,0 days 01:33:40.148000,276.0,299.0,253.0,296.0,False,MEDIUM,16.0,True,McLaren,0 days 01:32:00.878000,NaT,1,2.0,,,False,True
0 days 01:35:21.344000,NOR,4,0 days 00:01:41.240000,17.0,1.0,NaT,0 days 01:35:19.966000,0 days 00:00:35.929000,0 days 00:00:44.078000,0 days 00:00:21.233000,0 days 01:34:16.077000,0 days 01:35:00.155000,0 days 01:35:21.388000,274.0,298.0,,297.0,False,MEDIUM,17.0,True,McLaren,0 days 01:33:40.104000,NaT,1,1.0,,,False,False
0 days 01:37:19.467000,NOR,4,0 days 00:01:58.123000,18.0,2.0,0 days 01:35:43.497000,NaT,0 days 00:00:55.501000,0 days 00:00:43.644000,0 days 00:00:18.978000,0 days 01:36:16.889000,0 days 01:37:00.533000,0 days 01:37:19.511000,273.0,307.0,258.0,303.0,False,HARD,1.0,True,McLaren,0 days 01:35:21.344000,NaT,1,5.0,,,False,False
